Python executable:
Python 3.10.19
GPU Info:
Mon Nov 24 21:32:39 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.161.07             Driver Version: 535.161.07   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA L40S                    On  | 00000000:4C:00.0 Off |                    0 |
| N/A   30C    P8              34W / 350W |      0MiB / 46068MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Dataset contains 40455 image-caption pairs.
Number of unique words in captions: 8488
Average caption length: 11.78 words
Average image size: 397.25 x 457.87 pixels
8091 images in dataset
count    8091.0
mean        5.0
std         0.0
min         5.0
25%         5.0
50%         5.0
75%         5.0
max         5.0
dtype: float64
Model will be saved as: 20251124_clip_cuda_sub-size-full_bs32_ep500_lr1e-05_ft_training_no-earlystop
Epoch 1/500 | Train Loss: 3.3585 | Val Loss: 3.2811 | MeanSim: 0.1480 | R@1: 0.002 | Epoch time: 173.59s
Epoch 2/500 | Train Loss: 3.1024 | Val Loss: 3.1494 | MeanSim: 0.1290 | R@1: 0.002 | Epoch time: 175.78s
Epoch 3/500 | Train Loss: 2.9059 | Val Loss: 3.0745 | MeanSim: 0.1191 | R@1: 0.002 | Epoch time: 175.67s
Epoch 4/500 | Train Loss: 2.7700 | Val Loss: 3.0687 | MeanSim: 0.1178 | R@1: 0.003 | Epoch time: 177.35s
Epoch 5/500 | Train Loss: 2.6701 | Val Loss: 3.0169 | MeanSim: 0.1208 | R@1: 0.003 | Epoch time: 178.19s
Epoch 6/500 | Train Loss: 2.5973 | Val Loss: 3.0058 | MeanSim: 0.1193 | R@1: 0.003 | Epoch time: 174.52s
Epoch 7/500 | Train Loss: 2.5389 | Val Loss: 2.9852 | MeanSim: 0.1172 | R@1: 0.003 | Epoch time: 171.77s
Epoch 8/500 | Train Loss: 2.4921 | Val Loss: 3.0253 | MeanSim: 0.1164 | R@1: 0.003 | Epoch time: 171.42s
Epoch 9/500 | Train Loss: 2.4418 | Val Loss: 3.0077 | MeanSim: 0.1276 | R@1: 0.002 | Epoch time: 169.11s
Epoch 10/500 | Train Loss: 2.4018 | Val Loss: 3.0200 | MeanSim: 0.1277 | R@1: 0.003 | Epoch time: 171.12s
Epoch 11/500 | Train Loss: 2.3743 | Val Loss: 2.9354 | MeanSim: 0.1209 | R@1: 0.004 | Epoch time: 170.72s
