Python executable:
Python 3.10.19
GPU Info:
Thu Nov 27 09:22:01 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.161.07             Driver Version: 535.161.07   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA L40S                    On  | 00000000:4C:00.0 Off |                    0 |
| N/A   32C    P8              35W / 350W |      0MiB / 46068MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Dataset contains 40455 image-caption pairs.
Number of unique words in captions: 8488
Average caption length: 11.78 words
Average image size: 397.25 x 457.87 pixels
8091 images in dataset
count    8091.0
mean        5.0
std         0.0
min         5.0
25%         5.0
50%         5.0
75%         5.0
max         5.0
dtype: float64
Model will be saved as: 20251127_clip_cuda_sub-size-full_bs128_ep200_lr1e-05_x_bs_temp0.12
Epoch 1/200 | Train Loss: 4.8043 | Val Loss: 4.7361 | MeanSim: 0.1409 | R@1: 0.001 | Epoch time: 190.57s
Epoch 2/200 | Train Loss: 4.6964 | Val Loss: 4.6621 | MeanSim: 0.1421 | R@1: 0.001 | Epoch time: 161.20s
Epoch 3/200 | Train Loss: 4.6055 | Val Loss: 4.5938 | MeanSim: 0.1773 | R@1: 0.001 | Epoch time: 163.50s
Epoch 4/200 | Train Loss: 4.4833 | Val Loss: 4.5048 | MeanSim: 0.2323 | R@1: 0.001 | Epoch time: 163.66s
Epoch 5/200 | Train Loss: 4.3462 | Val Loss: 4.4214 | MeanSim: 0.1934 | R@1: 0.001 | Epoch time: 163.73s
Epoch 6/200 | Train Loss: 4.2686 | Val Loss: 4.3799 | MeanSim: 0.1830 | R@1: 0.002 | Epoch time: 164.16s
Epoch 7/200 | Train Loss: 4.2112 | Val Loss: 4.3311 | MeanSim: 0.1974 | R@1: 0.002 | Epoch time: 163.74s
Epoch 8/200 | Train Loss: 4.1657 | Val Loss: 4.3013 | MeanSim: 0.1899 | R@1: 0.002 | Epoch time: 163.63s
Epoch 9/200 | Train Loss: 4.1247 | Val Loss: 4.2792 | MeanSim: 0.1912 | R@1: 0.002 | Epoch time: 163.84s
Epoch 10/200 | Train Loss: 4.0893 | Val Loss: 4.2525 | MeanSim: 0.1876 | R@1: 0.002 | Epoch time: 163.48s
Epoch 11/200 | Train Loss: 4.0562 | Val Loss: 4.2361 | MeanSim: 0.1891 | R@1: 0.002 | Epoch time: 163.91s
Epoch 12/200 | Train Loss: 4.0272 | Val Loss: 4.2210 | MeanSim: 0.1838 | R@1: 0.002 | Epoch time: 163.25s
Epoch 13/200 | Train Loss: 4.0021 | Val Loss: 4.2025 | MeanSim: 0.1888 | R@1: 0.003 | Epoch time: 164.24s
Epoch 14/200 | Train Loss: 3.9772 | Val Loss: 4.1909 | MeanSim: 0.1853 | R@1: 0.003 | Epoch time: 163.90s
Epoch 15/200 | Train Loss: 3.9560 | Val Loss: 4.1731 | MeanSim: 0.1918 | R@1: 0.002 | Epoch time: 163.80s
Epoch 16/200 | Train Loss: 3.9362 | Val Loss: 4.1575 | MeanSim: 0.1931 | R@1: 0.003 | Epoch time: 164.14s
Epoch 17/200 | Train Loss: 3.9152 | Val Loss: 4.1521 | MeanSim: 0.1936 | R@1: 0.003 | Epoch time: 163.82s
Epoch 18/200 | Train Loss: 3.8945 | Val Loss: 4.1478 | MeanSim: 0.1970 | R@1: 0.004 | Epoch time: 164.73s
Epoch 19/200 | Train Loss: 3.8801 | Val Loss: 4.1295 | MeanSim: 0.1982 | R@1: 0.004 | Epoch time: 163.52s
Epoch 20/200 | Train Loss: 3.8623 | Val Loss: 4.1246 | MeanSim: 0.1994 | R@1: 0.004 | Epoch time: 164.38s
Epoch 21/200 | Train Loss: 3.8442 | Val Loss: 4.1126 | MeanSim: 0.2004 | R@1: 0.004 | Epoch time: 164.50s
Epoch 22/200 | Train Loss: 3.8269 | Val Loss: 4.1060 | MeanSim: 0.1982 | R@1: 0.005 | Epoch time: 164.55s
Epoch 23/200 | Train Loss: 3.8135 | Val Loss: 4.0960 | MeanSim: 0.2029 | R@1: 0.004 | Epoch time: 170.30s
Epoch 24/200 | Train Loss: 3.7982 | Val Loss: 4.0800 | MeanSim: 0.2064 | R@1: 0.005 | Epoch time: 166.27s
Epoch 25/200 | Train Loss: 3.7822 | Val Loss: 4.0849 | MeanSim: 0.2100 | R@1: 0.004 | Epoch time: 163.90s
Epoch 26/200 | Train Loss: 3.7671 | Val Loss: 4.0783 | MeanSim: 0.2085 | R@1: 0.005 | Epoch time: 163.64s
Epoch 27/200 | Train Loss: 3.7535 | Val Loss: 4.0711 | MeanSim: 0.2148 | R@1: 0.005 | Epoch time: 164.29s
Epoch 28/200 | Train Loss: 3.7409 | Val Loss: 4.0606 | MeanSim: 0.2148 | R@1: 0.006 | Epoch time: 164.04s
Epoch 29/200 | Train Loss: 3.7257 | Val Loss: 4.0594 | MeanSim: 0.2131 | R@1: 0.004 | Epoch time: 164.43s
Epoch 30/200 | Train Loss: 3.7121 | Val Loss: 4.0510 | MeanSim: 0.2176 | R@1: 0.005 | Epoch time: 163.64s
Epoch 31/200 | Train Loss: 3.7028 | Val Loss: 4.0467 | MeanSim: 0.2191 | R@1: 0.004 | Epoch time: 166.96s
Epoch 32/200 | Train Loss: 3.6849 | Val Loss: 4.0371 | MeanSim: 0.2182 | R@1: 0.005 | Epoch time: 168.34s
Epoch 33/200 | Train Loss: 3.6746 | Val Loss: 4.0410 | MeanSim: 0.2203 | R@1: 0.006 | Epoch time: 281.87s
Epoch 34/200 | Train Loss: 3.6643 | Val Loss: 4.0327 | MeanSim: 0.2217 | R@1: 0.004 | Epoch time: 567.92s
Epoch 35/200 | Train Loss: 3.6513 | Val Loss: 4.0324 | MeanSim: 0.2246 | R@1: 0.005 | Epoch time: 263.65s
Epoch 36/200 | Train Loss: 3.6394 | Val Loss: 4.0198 | MeanSim: 0.2283 | R@1: 0.005 | Epoch time: 163.65s
Epoch 37/200 | Train Loss: 3.6271 | Val Loss: 4.0241 | MeanSim: 0.2271 | R@1: 0.005 | Epoch time: 165.92s
Epoch 38/200 | Train Loss: 3.6169 | Val Loss: 4.0149 | MeanSim: 0.2280 | R@1: 0.005 | Epoch time: 164.34s
Epoch 39/200 | Train Loss: 3.6065 | Val Loss: 4.0012 | MeanSim: 0.2250 | R@1: 0.006 | Epoch time: 165.71s
Epoch 40/200 | Train Loss: 3.5972 | Val Loss: 4.0072 | MeanSim: 0.2316 | R@1: 0.005 | Epoch time: 164.46s
Epoch 41/200 | Train Loss: 3.5870 | Val Loss: 4.0039 | MeanSim: 0.2302 | R@1: 0.005 | Epoch time: 163.96s
Epoch 42/200 | Train Loss: 3.5750 | Val Loss: 3.9957 | MeanSim: 0.2358 | R@1: 0.007 | Epoch time: 164.81s
Epoch 43/200 | Train Loss: 3.5682 | Val Loss: 4.0050 | MeanSim: 0.2335 | R@1: 0.006 | Epoch time: 164.07s
Epoch 44/200 | Train Loss: 3.5552 | Val Loss: 3.9862 | MeanSim: 0.2327 | R@1: 0.005 | Epoch time: 164.53s
