Python executable:
Python 3.10.19
GPU Info:
Sat Dec  6 23:35:19 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.161.07             Driver Version: 535.161.07   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA A100-PCIE-40GB          On  | 00000000:E3:00.0 Off |                    0 |
| N/A   42C    P0              37W / 250W |      0MiB / 40960MiB |      0%      Default |
|                                         |                      |             Disabled |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Dataset contains 40455 image-caption pairs.
Number of unique words in captions: 8488
Average caption length: 11.78 words
Average image size: 397.25 x 457.87 pixels
8091 images in dataset
count    8091.0
mean        5.0
std         0.0
min         5.0
25%         5.0
50%         5.0
75%         5.0
max         5.0
dtype: float64
Model will be saved as: 20251206_clip_cuda_sub-size-full_bs32_ep200_lr1e-05_overfitt
Epoch 1/200 | Train Loss: 3.3628 | Val Loss: 3.2797 | MeanSim: 0.1490 | R@1: 0.000 | Epoch time: 203.66s
Epoch 2/200 | Train Loss: 3.1103 | Val Loss: 3.1641 | MeanSim: 0.1281 | R@1: 0.000 | Epoch time: 196.65s
Epoch 3/200 | Train Loss: 2.9147 | Val Loss: 3.0955 | MeanSim: 0.1203 | R@1: 0.000 | Epoch time: 194.21s
Epoch 4/200 | Train Loss: 2.7821 | Val Loss: 3.0524 | MeanSim: 0.1193 | R@1: 0.000 | Epoch time: 197.08s
Epoch 5/200 | Train Loss: 2.6826 | Val Loss: 3.0170 | MeanSim: 0.1196 | R@1: 0.000 | Epoch time: 198.27s
Epoch 6/200 | Train Loss: 2.6041 | Val Loss: 3.0144 | MeanSim: 0.1193 | R@1: 0.000 | Epoch time: 195.90s
Epoch 7/200 | Train Loss: 2.5382 | Val Loss: 3.0406 | MeanSim: 0.1100 | R@1: 0.000 | Epoch time: 197.40s
Epoch 8/200 | Train Loss: 2.4935 | Val Loss: 2.9629 | MeanSim: 0.1168 | R@1: 0.000 | Epoch time: 197.48s
Epoch 9/200 | Train Loss: 2.4470 | Val Loss: 3.0080 | MeanSim: 0.1168 | R@1: 0.000 | Epoch time: 196.23s
Epoch 10/200 | Train Loss: 2.4079 | Val Loss: 2.9763 | MeanSim: 0.1223 | R@1: 0.000 | Epoch time: 196.41s
Epoch 11/200 | Train Loss: 2.3699 | Val Loss: 2.9568 | MeanSim: 0.1140 | R@1: 0.000 | Epoch time: 197.15s
Epoch 12/200 | Train Loss: 2.3440 | Val Loss: 2.9708 | MeanSim: 0.1164 | R@1: 0.000 | Epoch time: 197.18s
Epoch 13/200 | Train Loss: 2.3241 | Val Loss: 2.9579 | MeanSim: 0.1094 | R@1: 0.000 | Epoch time: 197.28s
Epoch 14/200 | Train Loss: 2.2896 | Val Loss: 2.9528 | MeanSim: 0.1212 | R@1: 0.000 | Epoch time: 196.79s
Epoch 15/200 | Train Loss: 2.2609 | Val Loss: 3.0450 | MeanSim: 0.1330 | R@1: 0.000 | Epoch time: 197.64s
